Rating_ID,Rating
996,3
997,4
998,4
999,1
1000,5
1001,4
1002,5
1003,5
1004,5
1005,4
1006,5
1007,4
1008,3
1009,5
1010,5
1011,2
1012,1
1013,5
1014,5
1015,4
1016,5
1017,5
1018,5
1019,4
1020,1
1021,5
1022,5
1023,1
1024,5
1025,1
1026,1
1027,1
1028,5
1029,5
1030,3
1031,5
1032,5
1033,4
1034,4
1035,5
1036,4
1037,5
1038,5
1039,5
1040,5
1041,5
1042,5
1043,5
1044,5
1045,3
1046,5
1047,5
1048,3
1049,5
1050,5
1051,4
1052,5
1053,2
1054,5
1055,5
1056,5
1057,5
1058,5
1059,5
1060,5
1061,5
1062,4
1063,3
1064,5
1065,5
1066,4
1067,4
1068,1
1069,1
1070,5
1071,5
1072,5
1073,4
1074,5
1075,1
1076,5
1077,5
1078,2
1079,5
1080,5
1081,5
1082,3
1083,5
1084,4
1085,4
1086,5
1087,5
1088,5
1089,5
1090,4
1091,4
1092,3
1093,5
1094,5
1095,5
1096,5
1097,5
1098,5
1099,4
1100,1
1101,5
1102,5
1103,5
1104,1
1105,4
1106,3
1107,4
1108,1
1109,5
1110,1
1111,5
1112,5
1113,5
1114,5
1115,1
1116,4
1117,3
1118,5
1119,4
1120,5
1121,1
1122,5
1123,5
1124,4
1125,5
1126,4
1127,4
1128,4
1129,4
1130,4
1131,5
1132,5
1133,5
1134,5
1135,5
1136,5
1137,4
1138,4
1139,5
1140,5
1141,4
1142,4
1143,5
1144,5
1145,1
1146,5
1147,5
1148,5
1149,4
1150,5
1151,5
1152,5
1153,4
1154,5
1155,5
1156,5
1157,1
1158,1
1159,1
1160,5
1161,4
1162,5
1163,4
1164,3
1165,1
1166,5
1167,5
1168,5
1169,5
1170,1
1171,5
1172,4
1173,4
1174,5
1175,5
1176,5
1177,4
1178,5
1179,5
1180,4
1181,5
1182,1
1183,4
1184,4
1185,5
1186,1
1187,4
1188,1
1189,5
1190,4
1191,5
1192,3
1193,1
1194,1
1195,5
1196,2
1197,5
1198,5
1199,3
1200,5
1201,5
1202,5
1203,5
1204,1
1205,5
1206,1
1207,4
1208,1
1209,3
1210,5
1211,3
1212,4
1213,2
1214,1
1215,5
1216,2
1217,1
1218,5
1219,5
1220,5
1221,5
1222,4
1223,1
1224,5
1225,5
1226,5
1227,5
1228,4
1229,5
1230,5
1231,5
1232,4
1233,4
1234,5
1235,5
1236,5
1237,1
1238,5
1239,4
1240,5
1241,5
1242,5
1243,5
1244,4
1245,5
1246,1
1247,3
1248,1
1249,4
1250,5
1251,4
1252,1
1253,5
1254,4
1255,4
1256,5
1257,5
1258,1
1259,4
1260,5
1261,4
1262,5
1263,1
1264,5
1265,5
1266,4
1267,4
1268,5
1269,5
1270,5
1271,1
1272,5
1273,3
1274,3
1275,5
1276,2
1277,4
1278,2
1279,5
1280,4
1281,5
1282,5
1283,1
1284,5
1285,5
1286,3
1287,5
1288,5
1289,5
1290,5
1291,5
1292,2
1293,5
1294,2
1295,5
1296,1
1297,4
1298,5
1299,4
1300,3
1301,5
